age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
54,Self-emp-not-inc,202604,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,11,0,40,United-States,<=50K
49,Private,185390,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
76,Private,166960,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,47,United-States,>50K
33,Private,160799,Some-college,10,Separated,Other-service,Unmarried,White,Female,12,0,40,United-States,<=50K
33,?,159160,Some-college,10,Separated,?,Own-child,Black,Female,22,0,10,United-States,<=50K
41,Private,42765,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,0,59,United-States,>50K
57,Local-gov,232594,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,40,United-States,<=50K
57,State-gov,160126,7th-8th,3,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,25,0,6,United-States,<=50K
55,State-gov,317722,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,99999,0,59,United-States,>50K
40,Federal-gov,55004,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,11,United-States,<=50K
28,Private,237722,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,8,0,40,United-States,<=50K
33,Private,239325,9th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
30,Private,209497,HS-grad,9,Never-married,Sales,Own-child,Black,Male,18,0,40,United-States,<=50K
28,Private,228492,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
26,Private,182132,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,8,0,50,United-States,<=50K
21,Self-emp-inc,535276,Some-college,10,Never-married,Tech-support,Own-child,White,Male,15,0,5,United-States,<=50K
53,Self-emp-inc,171351,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,27,0,64,United-States,>50K
19,Private,165254,Some-college,10,Never-married,Other-service,Own-child,Black,Female,4,0,19,United-States,<=50K
23,Private,225963,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
43,Private,44300,9th,9,Never-married,Machine-op-inspct,Unmarried,White,Female,6,0,40,United-States,<=50K
44,Self-emp-not-inc,204073,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,31,1,43,Guatemala,<=50K
51,Private,261201,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,58,United-States,<=50K
41,Private,229334,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,58,United-States,<=50K
64,Self-emp-not-inc,164833,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,50,United-States,>50K
33,Self-emp-inc,91761,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,11,1,45,United-States,>50K
18,Private,186832,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,24,0,46,Vietnam,<=50K
61,?,129972,HS-grad,9,Married-civ-spouse,?,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,112651,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
53,?,220201,12th,6,Married-spouse-absent,?,Unmarried,White,Male,9,1,40,Jamaica,<=50K
43,Private,138460,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,44,Iran,>50K
31,Private,184457,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,22,0,50,United-States,<=50K
51,Private,145619,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Male,6,0,44,United-States,<=50K
39,Private,215964,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,15,1895,40,United-States,>50K
31,Private,195154,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,White,Male,14884,0,45,United-States,>50K
26,Private,129789,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,2,0,61,United-States,>50K
79,Private,209689,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,46,Puerto-Rico,<=50K
68,Self-emp-inc,186993,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,25,1,36,?,>50K
22,Private,187780,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,7,0,31,United-States,<=50K
30,Private,199260,11th,6,Never-married,Craft-repair,Own-child,White,Male,8,0,30,United-States,<=50K
31,Private,239919,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,9,United-States,<=50K
28,Private,277950,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,43,United-States,<=50K
40,Private,428514,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,40,United-States,<=50K
62,Self-emp-not-inc,124408,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,18,1,40,United-States,>50K
24,Private,199313,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,<=50K
38,Private,187607,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,1,0,40,United-States,<=50K
20,Private,221350,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,5,0,36,United-States,<=50K
21,Private,228427,Bachelors,9,Never-married,Adm-clerical,Not-in-family,White,Female,7,0,40,United-States,<=50K
35,Private,90584,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
63,Private,213912,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,25,0,40,United-States,>50K
17,Private,204710,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,<=50K
32,Private,122804,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,24,0,44,United-States,>50K
56,Private,228543,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,0,44,United-States,>50K
34,Private,192399,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,United-States,<=50K
24,Private,186536,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,18,0,46,United-States,>50K
32,Self-emp-not-inc,59565,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4,0,40,Puerto-Rico,>50K
50,Private,253226,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,21,1,40,United-States,>50K
34,Federal-gov,130007,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,12,0,40,United-States,<=50K
24,Private,87419,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,76,United-States,>50K
50,Private,141113,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,3840,0,40,United-States,>50K
45,Private,241566,5th-6th,3,Separated,Craft-repair,Unmarried,White,Female,7,0,40,Mexico,<=50K
20,Private,269740,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
19,Private,219107,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,11,United-States,<=50K
20,Private,63858,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,98774,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,2,0,40,United-States,>50K
24,Private,272507,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,11,0,57,United-States,<=50K
29,Private,196073,10th,5,Never-married,Other-service,Unmarried,White,Female,8,0,29,United-States,<=50K
42,Self-emp-not-inc,191249,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,33,0,44,Mexico,<=50K
52,Private,130255,HS-grad,9,Separated,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
32,Private,162927,Assoc-voc,11,Separated,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
50,Private,220166,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7637,0,60,United-States,>50K
22,Private,231760,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
54,Self-emp-inc,25390,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,12,0,36,United-States,>50K
31,Private,62016,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
74,Self-emp-inc,116158,Doctorate,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15139,0,40,United-States,>50K
23,Private,237336,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,10,0,40,United-States,<=50K
34,Self-emp-inc,110111,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,White,Female,15119,0,29,United-States,>50K
30,Private,336628,12th,8,Never-married,Priv-house-serv,Unmarried,Black,Female,25,0,40,Mexico,<=50K
68,Private,137894,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,10,0,58,United-States,<=50K
53,Private,121524,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Male,0,0,58,United-States,<=50K
55,Private,92101,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,70,United-States,<=50K
39,Self-emp-not-inc,170718,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,3306,0,50,United-States,>50K
42,Federal-gov,126714,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,3,0,40,United-States,<=50K
62,Private,158746,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,9,2269,45,United-States,>50K
21,?,46672,Bachelors,13,Married-civ-spouse,?,Husband,White,Female,19,0,10,United-States,<=50K
54,Private,202711,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,59,?,<=50K
27,Private,194302,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Female,5,0,20,United-States,<=50K
30,Self-emp-not-inc,187781,Masters,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,3,0,47,United-States,<=50K
17,Private,170707,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,20,1,50,United-States,<=50K
37,Private,83835,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,<=50K
31,Private,255688,Some-college,10,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,3,0,58,United-States,>50K
40,Private,92105,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
41,Private,211554,7th-8th,15,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,<=50K
38,Private,258186,Assoc-voc,11,Married-civ-spouse,Craft-repair,Wife,White,Female,11,0,40,United-States,<=50K
23,Private,120944,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,44,United-States,<=50K
44,Private,165581,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,>50K
19,Private,251063,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,1,40,United-States,<=50K
40,State-gov,251030,Assoc-acdm,12,Separated,Adm-clerical,Unmarried,White,Female,15,0,40,United-States,<=50K
36,Private,185308,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,2,0,40,United-States,<=50K
46,Private,172088,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,22,0,40,United-States,>50K
22,Private,139100,Some-college,10,Never-married,Sales,Not-in-family,White,Female,6,0,5,United-States,<=50K
37,Self-emp-not-inc,113705,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
60,Federal-gov,50819,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,20,1,10,United-States,<=50K
22,?,256261,Some-college,10,Never-married,?,Own-child,White,Male,2,1,20,United-States,<=50K
32,Private,214402,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,46,United-States,<=50K
49,Self-emp-inc,500301,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15136,0,56,United-States,>50K
26,Private,129897,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,9,0,50,United-States,>50K
32,Private,217589,Assoc-voc,11,Married-civ-spouse,Craft-repair,Wife,White,Female,9,0,44,United-States,<=50K
36,Private,193336,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
28,Self-emp-inc,147395,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,14,0,56,United-States,>50K
18,?,168441,Some-college,10,Never-married,?,Own-child,White,Female,6,0,40,United-States,<=50K
66,Private,192646,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3,0,50,United-States,>50K
28,Private,62938,9th,6,Divorced,Adm-clerical,Unmarried,Black,Female,3,0,40,United-States,<=50K
34,State-gov,302074,HS-grad,9,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
52,Local-gov,205092,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,57,United-States,>50K
51,Private,143989,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,45,United-States,<=50K
18,Private,264824,11th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,1,22,United-States,<=50K
25,Private,120356,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,1,40,United-States,<=50K
54,Private,111006,12th,6,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,60,United-States,<=50K
23,Local-gov,320874,HS-grad,9,Never-married,Protective-serv,Own-child,Black,Male,8,0,40,United-States,<=50K
64,Private,212697,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,59,United-States,>50K
32,Private,116113,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
26,Private,175380,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,10,0,14,United-States,<=50K
28,Private,256881,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,18,0,46,?,<=50K
33,Local-gov,191882,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,40,United-States,>50K
57,State-gov,307894,11th,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,40,United-States,<=50K
43,State-gov,128765,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,25,0,40,Philippines,>50K
31,Private,224762,Bachelors,13,Never-married,Sales,Unmarried,White,Female,11,0,30,United-States,<=50K
32,Private,202113,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,1,58,United-States,<=50K
38,Private,252364,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,15199,1929,54,United-States,>50K
22,Private,127992,Some-college,10,Never-married,Sales,Own-child,White,Female,10,0,13,United-States,<=50K
26,Private,251611,HS-grad,9,Never-married,Sales,Own-child,White,Female,8,0,40,United-States,<=50K
69,?,263724,Some-college,10,Divorced,?,Not-in-family,White,Male,6,0,8,United-States,<=50K
17,Private,219125,Some-college,14,Never-married,Sales,Own-child,White,Male,0,0,23,United-States,<=50K
30,Private,122460,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,4635,0,44,United-States,>50K
57,Self-emp-not-inc,167477,Masters,14,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,4530,1,53,United-States,>50K
41,State-gov,147523,Some-college,10,Separated,Protective-serv,Own-child,Black,Female,0,0,10,United-States,<=50K
25,Private,248968,12th,10,Never-married,Craft-repair,Own-child,White,Male,2760,1,40,United-States,<=50K
29,Private,59208,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,6,0,40,United-States,<=50K
30,Private,44664,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,45,United-States,<=50K
62,?,173363,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,19,United-States,<=50K
64,Private,182151,Assoc-acdm,12,Widowed,Adm-clerical,Not-in-family,White,Male,18,0,40,United-States,<=50K
29,Private,185062,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,150766,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,57,United-States,<=50K
29,Private,74812,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,46,United-States,>50K
21,Private,118800,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
33,State-gov,263118,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
17,Private,48600,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
45,Self-emp-not-inc,30210,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,18,1933,57,United-States,>50K
20,Private,116149,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,0,44,United-States,<=50K
28,Private,160698,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
41,State-gov,142672,Bachelors,13,Never-married,Sales,Own-child,Black,Male,15,0,22,United-States,<=50K
18,Private,156368,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,1,46,United-States,<=50K
25,Private,183335,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,15,0,40,United-States,<=50K
28,Private,120553,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,58,United-States,<=50K
53,State-gov,135219,Bachelors,13,Never-married,Tech-support,Unmarried,White,Female,21,0,59,United-States,<=50K
20,Private,228596,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2,0,22,United-States,<=50K
51,Local-gov,162583,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
48,Local-gov,267880,Bachelors,13,Separated,Adm-clerical,Unmarried,Black,Female,10,0,40,United-States,<=50K
40,Private,118340,Masters,14,Never-married,Exec-managerial,Other-relative,Other,Male,14,0,45,United-States,<=50K
64,Private,175757,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,176026,HS-grad,9,Married-civ-spouse,Other-service,Unmarried,White,Female,16,1,40,United-States,<=50K
48,Federal-gov,52491,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,25,0,40,United-States,>50K
37,Local-gov,125679,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,<=50K
37,Private,218026,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,14984,0,40,United-States,<=50K
50,Self-emp-not-inc,32102,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,1,35,United-States,>50K
64,Self-emp-not-inc,223413,12th,6,Widowed,Prof-specialty,Husband,White,Male,22,0,10,United-States,<=50K
24,Private,243316,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3,0,40,United-States,<=50K
44,Private,106090,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,46,United-States,<=50K
18,Private,61146,Some-college,10,Never-married,Sales,Own-child,White,Male,15,0,24,United-States,<=50K
26,Private,140315,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,9,0,44,United-States,<=50K
36,Private,205751,11th,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,0,46,United-States,<=50K
22,?,51806,Some-college,10,Married-civ-spouse,?,Other-relative,Amer-Indian-Eskimo,Female,6,1,6,United-States,<=50K
55,?,51921,HS-grad,9,Never-married,?,Not-in-family,White,Male,3,0,9,United-States,<=50K
23,Private,94541,Prof-school,15,Never-married,Prof-specialty,Own-child,White,Female,0,0,8,United-States,<=50K
42,Private,248523,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
30,Private,147641,Bachelors,13,Widowed,Exec-managerial,Not-in-family,Black,Male,20,0,30,United-States,<=50K
34,Private,153288,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,31,0,44,United-States,>50K
26,Private,181903,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,14,0,45,United-States,<=50K
59,State-gov,146240,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,8,0,40,United-States,>50K
39,Federal-gov,232944,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,9,0,40,United-States,<=50K
51,Federal-gov,173713,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,2,0,30,United-States,>50K
34,Private,374740,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,58,United-States,>50K
36,Private,417756,11th,6,Separated,Other-service,Not-in-family,Black,Female,10,2272,30,United-States,<=50K
22,Private,298479,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,47,United-States,<=50K
46,Private,167695,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,3846,1,45,United-States,>50K
51,Private,34175,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,1,50,United-States,<=50K
25,Private,217516,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,3,1,9,United-States,<=50K
71,Private,214639,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,1,45,United-States,>50K
47,Private,168112,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,<=50K
20,Private,115444,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,3,1,45,United-States,<=50K
60,Private,203183,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,6,0,40,United-States,<=50K
60,Private,162805,11th,7,Never-married,Other-service,Unmarried,White,Female,33,0,11,United-States,<=50K
